SI NO : 1, Name: AliceJohnson, Department: ComputerScience, Roll no: 1, Maths: 60, Physics: 61, Programming: 62
SI NO : 58, Name: LoganNelson, Department: ElectricalEngineering, Roll no: 3, Maths: 87, Physics: 85, Programming: 86
SI NO : 59, Name: MadelineOwens, Department: ElectricalEngineering, Roll no: 4, Maths: 80, Physics: 81, Programming: 82
SI NO : 60, Name: NathanielPrice, Department: ElectricalEngineering, Roll no: 5, Maths: 86, Physics: 84, Programming: 85
SI NO : 61, Name: OliveQuinn, Department: ElectricalEngineering, Roll no: 6, Maths: 79, Physics: 81, Programming: 82
SI NO : 62, Name: PrestonReed, Department: ElectricalEngineering, Roll no: 7, Maths: 83, Physics: 80, Programming: 84
SI NO : 63, Name: mineAbbott, Department: ElectricalEngineering, Roll no: 8, Maths: 78, Physics: 77, Programming: 80
SI NO : 64, Name: ZacharyBennett, Department: ElectricalEngineering, Roll no: 9, Maths: 90, Physics: 86, Programming: 89
SI NO : 65, Name: AubreyCarter, Department: ElectricalEngineering, Roll no: 10, Maths: 81, Physics: 79, Programming: 83
SI NO : 66, Name: BrandonDavis, Department: ElectricalEngineering, Roll no: 11, Maths: 84, Physics: 80, Programming: 85
SI NO : 67, Name: CharlotteEllis, Department: ElectricalEngineering, Roll no: 12, Maths: 90, Physics: 89, Programming: 88
SI NO : 68, Name: DominicFlores, Department: ElectricalEngineering, Roll no: 13, Maths: 88, Physics: 85, Programming: 87
